neuron,neuron_id,nickname,trust,milliampere,links_count,karma,first_link
bostrom1ymprf45c44rp9k0g2r84w2tjhsq7kalv98rgpt,0,mrbro,0.7871452025432187,11886925,118,7488477624244,2021-11-05T14:11:41
bostrom1ccvpcq9ffy0qd2ca8nmmpzfamtyjfc9znwak8m,1,posthuman-validator,0.7630196876434985,347845,82,616529945572,2021-11-05T14:21:04
bostrom1ay267fakkrgfy9lf2m7wsj8uez2dgylhtkdf9k,2,el-nivvo,0.9862826739894022,7878966,722,259388265795873,2021-11-05T14:32:19
bostrom1hmkqhy8ygl6tnl5g8tc503rwrmmrkjcq3lduwj,3,savethecyb,0.7837485323471715,7540357,102,3993291179746,2021-11-05T14:41:28
bostrom1mlqakhlxplhlezk80lph99wcy377j9dk2qx3gg,4,evangelist,0,135460,19,78482709539,2021-11-05T14:42:34
bostrom1d8754xqa9245pctlfcyv8eah468neqzn3a0y0t,5,mastercyb,0.9811306499679601,763177885,2348,22314471760000900,2021-11-05T15:07:17
bostrom1k7nssnnvxezpp4una7lvk6j53895vadpqe6jh6,6,jooy,0.9952678022772126,321899711,92350,30872905351174236,2021-11-05T15:20:35
bostrom1quchyywzdxp62dq3rwan8fg35v6j58sjwnfpuu,7,👤,0,888948,1,25930189711,2021-11-05T15:25:48
bostrom1ke7kxdn29w2lrxt9dzusa6shvmwd8xm9gxm2zf,8,cyberobione,0.8634419486960688,12027188,15,265591920598,2021-11-05T20:47:06
bostrom1wm4026rxqcrkh09k806m6y4lys942etx5cjz9z,9,user9091,0.5002812615767352,64479,13,72398873464,2021-11-05T21:21:35
bostrom1en69twaxmv7xupy8lq7y539dpecx7yz8g0k8ft,10,cyberg,0.9383578959454573,28982100,1422,7245405056816,2021-11-05T21:22:31
bostrom15zs0cjct43xs4z4sesxcrynar5mxm82f0ykhl3,11,web3validator,0.862265391356856,3589562,70,2750062568560,2021-11-05T23:04:46
bostrom1g0ap9fvex93yzzj69uzl74942vjvq8e4f8xtyr,12,ggyo8888,0.9235832426644965,18187926,93,13804003203472,2021-11-06T02:20:23
bostrom1ffve0zx389ffl80ae9t8jmghcjuzdlqr5eayfd,13,👤,0.948192418463236,26483599,6,6454981559566,2021-11-06T03:51:34
bostrom1679yrs8dmska7wcsawgy2m25kwucm3z0hwr74y,14,cyberacademy,0.9540622961639705,49575000,87553,747072306622480768,2021-11-06T09:29:05
bostrom1pjvkddp4fmx8ym5j7s7su8kn3zuqj255djzpja,15,deadblackclover,0.9831264393213967,1174603,208,248825227698,2021-11-06T10:08:05
bostrom14d92r4svhl4qa3g6q48tjekarw2kt67ngqn4lr,16,asadovka,0.6616201292883286,4050,9,7656238715,2021-11-06T10:40:50
bostrom12ysvrknuwdr6737fnc06v875whfh52xj3ewaf2,17,👤,0.953984333468295,52576,10,59200548461,2021-11-08T06:52:56
bostrom15n3t80p7eseld809f7fu3s9tlcezlymkfeu59n,18,spectrum,0,163610,12,8563743126,2021-11-08T13:24:41
